Ranking,University,Location,Tuition,Enrollment
#93,Auburn University,"Auburn, AL","$33,944
 (out-of-state)
$12,536
 (in-state)","25,379
 (fall 2022)"
#93,Baylor University,"Waco, TX","$54,844","15,213
 (fall 2022)"
#93,Gonzaga University,"Spokane, WA","$53,500","5,084
 (fall 2022)"
#93,Loyola Marymount University,"Los Angeles, CA","$58,489","7,299
 (fall 2022)"
#93,University of Iowa,"Iowa City, IA","$32,927
 (out-of-state)
$10,964
 (in-state)","21,973
 (fall 2022)"
#98,Drexel University,"Philadelphia, PA","$60,663","12,482
 (fall 2022)"
#98,Illinois Institute of Technology,"Chicago, IL","$51,763","3,125
 (fall 2022)"
#98,Rochester Institute of Technology,"Rochester, NY","$57,016","13,940
 (fall 2022)"
#98,Rutgers University--Camden,"Camden, NJ","$35,841
 (out-of-state)
$17,079
 (in-state)","4,185
 (fall 2022)"
#98,Texas Christian University,"Fort Worth, TX","$57,220","10,523
 (fall 2022)"
#98,University of Oregon,"Eugene, OR","$41,194
 (out-of-state)
$14,751
 (in-state)","19,565
 (fall 2022)"
#98,University of San Diego,"San Diego, CA","$56,444","5,669
 (fall 2022)"
#105,American University,"Washington, DC","$56,544","7,917
 (fall 2022)"
#105,Arizona State University,"Tempe, AZ","$32,193
 (out-of-state)
$12,051
 (in-state)","65,492
 (fall 2022)"
#105,California State University--Long Beach,"Long Beach, CA","$17,200
 (out-of-state)
$6,904
 (in-state)","32,711
 (fall 2022)"
#105,CUNY--City College,"New York, NY","$19,010
 (out-of-state)
$7,340
 (in-state)","11,929
 (fall 2022)"
#105,George Mason University,"Fairfax, VA","$37,976
 (out-of-state)
$13,812
 (in-state)","27,014
 (fall 2022)"
#105,Saint Louis University,"St. Louis, MO","$53,244","7,426
 (fall 2022)"
#105,San Diego State University,"San Diego, CA","$20,170
 (out-of-state)
$8,290
 (in-state)","31,724
 (fall 2022)"
#105,University of Colorado Boulder,"Boulder, CO","$41,966
 (out-of-state)
$13,622
 (in-state)","31,103
 (fall 2022)"
#105,University of Tennessee--Knoxville,"Knoxville, TN","$31,434
 (out-of-state)
$13,244
 (in-state)","27,039
 (fall 2022)"
#105,Yeshiva University,"New York, NY","$49,900","2,207
 (fall 2022)"
#115,Brigham Young University,"Provo, UT","$6,496","31,401
 (fall 2022)"
#115,Howard University,"Washington, DC","$33,344","9,809
 (fall 2022)"
#115,Iowa State University of Science and Technology,"Ames, IA","$26,617
 (out-of-state)
$10,133
 (in-state)","25,241
 (fall 2022)"
#115,SUNY College of Environmental Science and Forestry,"Syracuse, NY","$21,036
 (out-of-state)
$9,206
 (in-state)","1,621
 (fall 2022)"
#115,University of Arizona,"Tucson, AZ","$37,355
 (out-of-state)
$12,937
 (in-state)","40,407
 (fall 2022)"
#115,University of New Hampshire,"Durham, NH","$38,882
 (out-of-state)
$19,112
 (in-state)","11,480
 (fall 2022)"
#115,University of San Francisco,"San Francisco, CA","$58,222","6,018
 (fall 2022)"
#115,The University of Texas--Dallas,"Richardson, TX","$44,812
 (out-of-state)
$16,412
 (in-state)","21,617
 (fall 2022)"
#115,University of Utah,"Salt Lake City, UT","$33,045
 (out-of-state)
$10,287
 (in-state)","26,355
 (fall 2022)"
#124,Creighton University,"Omaha, NE","$47,000","4,290
 (fall 2022)"
#124,Fairfield University,"Fairfield, CT","$56,360","4,757
 (fall 2022)"
#124,Florida International University,"Miami, FL","$18,964
 (out-of-state)
$6,566
 (in-state)","45,442
 (fall 2022)"
#124,James Madison University,"Harrisonburg, VA","$30,790
 (out-of-state)
$13,576
 (in-state)","20,346
 (fall 2022)"
#124,University of Central Florida,"Orlando, FL","$22,467
 (out-of-state)
$6,368
 (in-state)","58,749
 (fall 2022)"
#124,University of Denver,"Denver, CO","$59,340","6,160
 (fall 2022)"
#124,University of Missouri,"Columbia, MO","$34,322
 (out-of-state)
$14,122
 (in-state)","23,752
 (fall 2022)"
#124,University of Oklahoma,"Norman, OK","$25,880
 (out-of-state)
$9,312
 (in-state)","21,294
 (fall 2022)"
#124,University of South Carolina,"Columbia, SC","$33,928
 (out-of-state)
$12,688
 (in-state)","27,343
 (fall 2022)"
#133,California State University--Fullerton,"Fullerton, CA","$18,954
 (out-of-state)
$7,074
 (in-state)","35,239
 (fall 2022)"
#133,Chapman University,"Orange, CA","$62,784","7,869
 (fall 2022)"
#133,Elon University,"Elon, NC","$44,536","6,337
 (fall 2022)"
#133,Miami University--Oxford,"Oxford, OH","$38,127
 (out-of-state)
$17,055
 (in-state)","16,865
 (fall 2022)"
#133,University at Albany--SUNY,"Albany, NY","$28,998
 (out-of-state)
$10,408
 (in-state)","12,264
 (fall 2022)"
#133,University of Dayton,"Dayton, OH","$47,600","8,416
 (fall 2022)"
#133,University of Houston,"Houston, TX","$27,110
 (out-of-state)
$11,870
 (in-state)","37,943
 (fall 2022)"
#133,University of Maryland Baltimore County,"Baltimore, MD","$30,308
 (out-of-state)
$12,952
 (in-state)","10,625
 (fall 2022)"
#133,University of Vermont,"Burlington, VT","$43,890
 (out-of-state)
$18,890
 (in-state)","11,898
 (fall 2022)"
#142,Clarkson University,"Potsdam, NY","$57,950","2,668
 (fall 2022)"
#142,Clark University,"Worcester, MA","$55,187","2,389
 (fall 2022)"
#142,Loyola University Chicago,"Chicago, IL","$51,706","11,703
 (fall 2022)"
#142,Oregon State University,"Corvallis, OR","$35,664
 (out-of-state)
$13,494
 (in-state)","28,905
 (fall 2022)"
#142,Thomas Jefferson University,"Philadelphia, PA","$45,733","3,771
 (fall 2022)"
#142,University of Alabama at Birmingham,"Birmingham, AL","$26,520
 (out-of-state)
$11,040
 (in-state)","13,032
 (fall 2022)"
#142,University of Cincinnati,"Cincinnati, OH","$27,140
 (out-of-state)
$13,530
 (in-state)","29,989
 (fall 2022)"
#142,University of the Pacific,"Stockton, CA","$55,340","3,294
 (fall 2022)"
#142,Virginia Commonwealth University,"Richmond, VA","$38,247
 (out-of-state)
$16,353
 (in-state)","20,958
 (fall 2022)"
#151,Colorado State University,"Fort Collins, CO","$33,752
 (out-of-state)
$12,896
 (in-state)","26,062
 (fall 2022)"
#151,DePaul University,"Chicago, IL","$44,460","14,134
 (fall 2022)"
#151,Duquesne University,"Pittsburgh, PA","$47,146","5,095
 (fall 2022)"
